Ep: 1880 | Steps: 625495 | AvgSPE: 332.7 |Epsilon: 0.0595 | Skor: -0.2 / 1.9
Ep: 1890 | Steps: 635787 | AvgSPE: 336.4 |Epsilon: 0.0586 | Skor: 2.0 / -0.0
Ep: 1900 | Steps: 641385 | AvgSPE: 337.6 |Epsilon: 0.0577 | Skor: 1.2 / -0.9
Ep: 1910 | Steps: 655595 | AvgSPE: 343.2 |Epsilon: 0.0569 | Skor: 0.1 / 2.2
Ep: 1920 | Steps: 670133 | AvgSPE: 349.0 |Epsilon: 0.0560 | Skor: -0.1 / 1.9
Ep: 1930 | Steps: 684360 | AvgSPE: 354.6 |Epsilon: 0.0552 | Skor: 0.2 / 2.2
Ep: 1940 | Steps: 695588 | AvgSPE: 358.6 |Epsilon: 0.0544 | Skor: 1.9 / -0.2
Ep: 1950 | Steps: 706537 | AvgSPE: 362.3 |Epsilon: 0.0535 | Skor: 2.0 / -0.0
Ep: 1960 | Steps: 717554 | AvgSPE: 366.1 |Epsilon: 0.0527 | Skor: 1.7 / -0.4
Ep: 1970 | Steps: 727985 | AvgSPE: 369.5 |Epsilon: 0.0520 | Skor: -0.3 / 1.8
Ep: 1980 | Steps: 740934 | AvgSPE: 374.2 |Epsilon: 0.0512 | Skor: 1.3 / -0.8
Ep: 1990 | Steps: 752172 | AvgSPE: 378.0 |Epsilon: 0.0504 | Skor: 2.0 / -0.1
Ep: 2000 | Steps: 760869 | AvgSPE: 380.4 |Epsilon: 0.0497 | Skor: -0.3 / 1.8
Ep: 2010 | Steps: 775850 | AvgSPE: 386.0 |Epsilon: 0.0489 | Skor: 0.5 / 2.5
Ep: 2020 | Steps: 789647 | AvgSPE: 390.9 |Epsilon: 0.0482 | Skor: -0.2 / 1.9
Ep: 2030 | Steps: 798596 | AvgSPE: 393.4 |Epsilon: 0.0475 | Skor: -0.1 / 1.9
Ep: 2040 | Steps: 808483 | AvgSPE: 396.3 |Epsilon: 0.0468 | Skor: -0.6 / 1.5
Ep: 2050 | Steps: 821213 | AvgSPE: 400.6 |Epsilon: 0.0461 | Skor: 0.6 / 2.6
Ep: 2060 | Steps: 831991 | AvgSPE: 403.9 |Epsilon: 0.0454 | Skor: 1.7 / -0.3
Ep: 2070 | Steps: 840866 | AvgSPE: 406.2 |Epsilon: 0.0447 | Skor: 1.8 / -0.2
Ep: 2080 | Steps: 850507 | AvgSPE: 408.9 |Epsilon: 0.0441 | Skor: -0.0 / 2.1
Ep: 2090 | Steps: 860021 | AvgSPE: 411.5 |Epsilon: 0.0434 | Skor: -0.2 / 1.8
Ep: 2100 | Steps: 878304 | AvgSPE: 418.2 |Epsilon: 0.0428 | Skor: -0.1 / 2.0
Ep: 2110 | Steps: 889857 | AvgSPE: 421.7 |Epsilon: 0.0421 | Skor: 1.5 / -0.5
Ep: 2120 | Steps: 905147 | AvgSPE: 427.0 |Epsilon: 0.0415 | Skor: -0.3 / 1.8
Ep: 2130 | Steps: 918634 | AvgSPE: 431.3 |Epsilon: 0.0409 | Skor: 0.1 / 2.1
